prestamo_id,ref,colgado,cobrador_id,cliente_id
35f30cf8-f1f5-47b5-a5bd-1d2a5b961a0d,PRD0002719155,66000,519ad2ba-847e-4ee2-ace5-d2877dc14fbd,be2a62b2-7551-4134-b656-3c379dc51424
daecb62e-4812-4347-85df-6d89f38c7276,PRD0002930893,30050,328ef0ba-a393-4a87-aecb-3b690a598e40,01bcfa2b-fabe-49d6-8e53-a65f396d181d
84388c07-7c62-4b7a-a046-5e5fd22ceb31,PRD0003407234,19600,9cd17f87-b8fd-49c5-8787-74b3217d306a,ff19e1dc-822d-4f00-84b2-a2999dd08718
d40d1055-ae52-4575-983f-ce4072d07e46,PRD0003283515,16369,9cd17f87-b8fd-49c5-8787-74b3217d306a,3c20ce8d-1901-4560-a956-4c7696343672
fc158403-6390-4b07-a4a2-0486e0c4d339,PRD0003250445,16250,9cd17f87-b8fd-49c5-8787-74b3217d306a,f2d51064-2372-4007-8ee0-0aa6912d9ab6
67ed7f97-026f-4d05-b6fd-1ef697a366f4,PRD0003275628,15590,9cd17f87-b8fd-49c5-8787-74b3217d306a,e539b7aa-10f9-4bef-bdbf-06687041604a
60dce9dd-43fa-428c-9af2-2d831a6dc6f8,PRD0003006370,13404,d24ef58e-8b03-4e8c-ad73-d51ef409662c,e3e5353a-ddfe-4f06-87ed-fe200512bc74
55b27701-fdbb-42cf-b477-2d32eb337e0e,PRD0003251636,12460,9cd17f87-b8fd-49c5-8787-74b3217d306a,4adf2485-201e-4254-9e8a-d863976b464d
4a713654-bb27-44f1-aec5-13c496fea053,PRD0003027866,12200,519ad2ba-847e-4ee2-ace5-d2877dc14fbd,00dec8ad-0d01-41ad-97df-07e5228b0cbe
e8c062c7-0721-4922-a09a-740ad8636702,PRD0003182128,8900,328ef0ba-a393-4a87-aecb-3b690a598e40,23e2ac8b-51c2-497f-8806-fe5d06fc8ade
2852d4d0-3985-4e4b-b180-c1fdf242aa77,PRD0003027375,8700,519ad2ba-847e-4ee2-ace5-d2877dc14fbd,1a40db50-6344-41e5-9646-a2c78434d5b0
0ed3ed3a-28c3-4c35-a8aa-9c00b0ec6e30,PRD0003262938,5700,9cd17f87-b8fd-49c5-8787-74b3217d306a,95763225-b399-415b-a199-197d38805a4f
2aca6c45-2422-45cb-b652-ae06f4ae5a6e,PRD0003211198,5300,328ef0ba-a393-4a87-aecb-3b690a598e40,22aeba5c-2b40-47ea-840f-d15e37ededcc
0659f178-2d39-4eed-855e-267f092a7784,PRD0003281592,4950,9cd17f87-b8fd-49c5-8787-74b3217d306a,edb8fe1c-7edf-427b-95d6-5b8ccde2efc0
6e859281-6623-462b-984d-eddd71997805,PRD0003572455,4900,d24ef58e-8b03-4e8c-ad73-d51ef409662c,678e8dad-1731-4be7-ba23-a6c894520470
091ecadb-acb1-457f-9390-ae43528a67d5,PRD0002981223,3800,328ef0ba-a393-4a87-aecb-3b690a598e40,cfa484f5-caf0-44f7-b5a5-6ee9c56af354
d13d25bc-62cd-4dd9-b945-a0deb39e758a,PRD0003322074,3400,328ef0ba-a393-4a87-aecb-3b690a598e40,f85e8f3b-913c-46c9-b57a-b4b5947dfc4d
ecdf1000-69f2-435a-9241-83e770b15b19,PRD0003313490,3210,9cd17f87-b8fd-49c5-8787-74b3217d306a,248a9117-3d81-4639-9d02-d6159233b4e8
518bd65b-5c72-4f44-a6df-4d373e2301c4,PRD0003133689,3000,9cd17f87-b8fd-49c5-8787-74b3217d306a,6ecdd052-8968-4049-8ee6-c95ff37cd91e
b1e8d0aa-7d79-4a49-a38a-64b69d44fe07,PRD0003054486,2440,519ad2ba-847e-4ee2-ace5-d2877dc14fbd,4f3f0276-261e-4223-a6b6-4cb1cf914390
abd05be3-1ac5-4f06-a81c-52c6dd2ee0a5,PRD0003389580,1660,328ef0ba-a393-4a87-aecb-3b690a598e40,806579c8-c0de-40aa-897c-ce91d9d40020
b6cc2e69-079f-4c16-a3d3-bfaabd6d84f6,PRD0003154073,1500,328ef0ba-a393-4a87-aecb-3b690a598e40,e1ea8f14-29d5-42d5-af10-561a89c44d1a
baea828d-b801-46d2-8ad9-9534dd939bb2,PRD0002963153,500,328ef0ba-a393-4a87-aecb-3b690a598e40,23186d10-ca28-4ec1-aba2-64ca8c7912d2
267b22bd-517f-456f-8cf8-653845a20e61,PRD0003570430,6,64d1085c-44b1-4fe0-b752-6c4c820b407e,eccf110d-e6ef-41f9-8fe7-3d39972d2135
bacde9f3-1fdf-4725-a4e4-ecef2f86fb0b,PRD0003626779,6,90f4245f-d5ce-4466-8c0d-c18e2bbc72de,a80b4708-84c0-4670-a03b-a1e4efd9e3f6
4ecf396a-1f6c-412c-bbab-aeaea4888a42,PRD0003631868,4,90f4245f-d5ce-4466-8c0d-c18e2bbc72de,4163c841-7d8a-4fbd-9b70-5cafbfcc0a38
87a792dd-8826-4848-98da-2ac3d2999395,PRD0003145512,3,f1a301ec-5c26-4856-9613-5c17b9cc1971,eb5b0da4-94aa-4b20-a4a8-350079269c71
