ref;nuevo;fecha;monto;folio;cuota;choca_con_nativo
PRD0002811795;False;2026-01-10;1000.0;44148908;22;False
PRD0002811795;False;2026-01-15;1000.0;44275806;22;False
PRD0002811795;False;2026-01-20;1000.0;44405978;22;False
PRD0002811795;False;2026-02-02;1000.0;44773514;22;False
PRD0003153961;False;2026-01-23;250.0;44507931;6;False
PRD0003153961;False;2026-02-02;400.0;44771230;6;False
PRD0003153961;False;2026-02-04;800.0;44841632;6;False
PRD0003153961;False;2026-02-05;400.0;44876747;6;False
PRD0003153961;False;2026-02-06;400.0;44926375;6;False
PRD0003153961;False;2026-02-09;200.0;44992376;6;False
PRD0003208599;False;2026-02-18;25.0;45268281;10;False
PRD0003208599;False;2026-02-19;25.0;45292364;10;False
PRD0003208599;False;2026-02-20;25.0;45339237;10;False
PRD0003208599;False;2026-02-21;25.0;45364556;10;False
PRD0003208599;False;2026-02-23;25.0;45392699;10;False
PRD0003208599;False;2026-02-26;75.0;45515483;10;False
PRD0003208599;False;2026-02-26;25.0;45516088;10;False
PRD0003208599;False;2026-03-03;25.0;45636891;10;False
PRD0003243228;False;2026-03-04;350.0;45671904;11;False
PRD0003243228;False;2026-03-05;260.0;45708228;11;False
PRD0003243228;False;2026-03-06;350.0;45743872;11;False
PRD0003243228;False;2026-03-07;350.0;45771550;11;False
PRD0003243228;False;2026-03-09;350.0;45814147;11;False
PRD0003243228;False;2026-03-10;350.0;45851227;11;False
PRD0003243228;False;2026-03-11;350.0;45887120;11;False
PRD0003243228;False;2026-03-13;350.0;45967674;11;False
PRD0003243228;False;2026-03-16;350.0;46029654;11;False
PRD0003243228;False;2026-03-17;250.0;46066819;11;False
PRD0003243228;False;2026-03-19;200.0;46138003;11;False
PRD0003243228;False;2026-03-23;200.0;46240118;11;False
PRD0003243228;False;2026-03-25;150.0;46310341;11;False
PRD0003243228;False;2026-03-27;120.0;46380811;11;False
PRD0003325065;False;2026-08-19;400.0;50830535;19;True
PRD0003416799;False;2026-05-18;600.0;47904409;30;False
PRD0003416799;False;2026-05-19;600.0;47937521;30;False
PRD0003416799;False;2026-05-20;600.0;47975140;30;False
PRD0003416799;False;2026-05-22;600.0;48051779;30;False
PRD0003416799;False;2026-05-23;600.0;48088655;30;False
PRD0003416799;False;2026-05-26;600.0;48160307;30;False
PRD0003416799;False;2026-05-28;600.0;48235068;30;False
PRD0003416799;False;2026-05-30;600.0;48303766;30;False
